Agua_(g),Proteina_(g),Lipidos_Tot_(g),Carbohitrado_(g),Fibra_TD_(g),Azucar_Tot_(g),Calcio_(mg),Hierro_(mg),Magnesio_(mg),Fosforo_(mg),Potasio_(mg),Energ_Kcal,Tasa_obesidad
25.87,5,13.96,53.64,0.6,33.36,47,1.48,8,140,149,353,2
23.1,5.2,17.9,52.5,1,40.99,64,1.62,13,134,106,389,2
4.6,6.1,18.8,68.9,0.8,20.24,29,2.22,12,102,111,467,6
7.28,8.92,23.82,58.15,2.1,28.58,41,2.11,44,156,202,473,6
11.5,5.3,24.4,57.7,1.7,12.61,12,0.89,32,87,107,457,10
12.6,8.2,25,52.1,1.1,5.3,101,1.7,37,241,308,458,5
4,9.1,27.5,57.3,1.2,57.81,111,1.87,41,264,338,503,2
5.9,9,23.8,58.9,1.2,2.6,39,2.23,39,116,231,475,1
2.8,8.8,21.1,65.6,1.9,35.44,53,2.6,49,188,192,478,3
3.7,10,34,50.8,1.9,1.97,43,2.55,51,154,294,535,6
3.28,12.41,25.12,56.74,3.4,6.98,50,2.72,56,268,218,496,1
2.93,11.47,24.54,58.38,2.3,10.5,81,2.77,55,274,215,494,3
3.4,13.5,26.7,53.8,4.4,3,170,2.67,38,347,297,495,5
23.2,8.2,21,45.8,2.6,11.26,37,2.03,16,105,118,406,2
48.37,5.23,6.83,37.75,1,8.32,78,5.67,14,215,90,233,0
5.7,5.7,28.4,58.2,1,1.43,38,2.48,55,100,221,488,0
23.1,5.2,17.9,52.5,1,18.27,64,0.6,13,134,106,389,0
4.6,6.1,18.8,68.9,0.8,26.68,29,0.29,12,102,111,467,9
6.35,9,24.28,58.48,2.8,32.55,35,2.72,191,347,209,480,0
2.7,7.7,20.8,66.2,2,17.3,53,3.1,11,116,65,479,1
2.7,9.7,17.9,66.3,2.7,9,43,3.5,13,190,71,461,10
2.7,9.5,18,67.2,2.7,11.8,50,3.3,12,119,68,463,9
7.3,10.5,15.8,64.4,4.3,0,91,2.13,86,250,291,426,2
2.54,8.72,20.18,67.41,1.9,62.68,21,0.71,66,132,220,486,1
3.2,10.2,31.1,53.4,2.8,23.74,108,1.45,67,227,339,508,4
5.9,9.8,20,62.2,4.2,0,80,1.94,88,262,377,432,0
1.23,5.4,18.9,72.9,2,45.9,36,0.79,48,97,220,459,4
5.25,0.03,3.3,90.4,0,80.46,4,0.01,0,1,3,391,3
0.75,2.2,29.05,67.1,0,67.1,34,0.08,5,31,64,539,0
2.67,18.3,29.8,46.88,5,38.3,110,1.7,110,310,505,529,7
10.93,3.78,6.59,77.75,0.7,73.36,42,0.22,20,68,119,387,7
26.72,0,0.09,72.43,0,72.25,2,0.09,0,10,3,291,6
1.44,10.24,30.53,55.36,3.6,47.17,78,1.21,62,161,343,515,2
1.82,9.18,32.67,54.15,3.1,36.13,75,1.32,61,173,264,536,3
13.33,1.11,13.06,71.8,1.9,0.01,12,0.93,30,51,143,408,8
56.45,0.39,0.3,42.47,1.5,35.3,14,0.31,4,8,91,173,8
40.63,1.21,0,57.01,0,57,49,0,5,39,66,216,7
2.3,9.8,23.8,62.3,2.9,6.5,41,2.4,55,139,291,483,7
0.7,4.2,29.7,63.4,5.9,8.41,32,3.13,115,132,365,477,10
63.52,3.99,10.3,21.3,0.9,5.9,130,0.19,13,173,91,180,10
1.6,9.53,31.34,55.53,3.3,40.33,70,1.3,49,144,295,542,6
5.05,6.67,18.33,68.45,1.7,48.33,33,0.6,89,153,429,465,7
50.72,7.66,13.9,26.7,0.9,40.99,54,1.4,12,108,131,264,7
7,5.88,20.78,64.69,2.6,44.29,871,0.89,67,139,91,463,2
0.34,7.5,34.02,55.16,10,0.55,20,1.85,94,251,240,557,8
0.9,8.38,30.22,57.26,10,0.3,23,2.06,110,275,393,535,6
51.4,6.31,16.02,22.02,1.8,17.07,22,0.91,45,107,235,257,7
15.8,0.9,80.7,0.6,0,0,28,0.09,2,23,37,718,7
46,1,50,1,0,0,28,0.09,2,23,37,450,8
5,2,1,89,0,5.3,23,2,0,8,2,373,4
42.41,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,353,4
41.11,23.24,29.68,2.79,0,0.51,674,0.43,24,451,136,371,4
48.42,20.75,27.68,0.45,0,0.45,184,0.5,20,188,152,334,10
51.8,19.8,24.26,0.46,0,0.46,388,0.33,20,347,187,300,9
39.28,25.18,29.2,3.06,0,11.26,673,0.64,22,490,93,376,7
37.02,22.87,33.31,3.09,0,0.48,710,0.14,27,455,76,404,4
37.65,23.37,30.6,4.78,0,1.43,643,0.21,21,464,95,387,5
38.2,23.76,32.11,2.57,0,0.52,685,0.76,26,457,127,394,7
79.79,11.12,4.3,3.38,0,2.67,83,0.07,8,159,104,98,4
79.64,10.69,3.85,4.61,0.2,2.38,53,0.16,7,113,90,97,4
81.01,10.34,0.29,6.66,0,1.85,86,0.15,11,190,137,72,3
81.24,10.45,2.27,4.76,0,4,111,0.13,9,150,125,81,3
82.48,12.39,1.02,2.72,0,2.72,61,0.14,5,134,86,72,3
52.62,6.15,34.44,5.52,0,3.76,97,0.11,9,107,132,350,7
41.56,24.99,27.8,1.43,0,1.43,731,0.44,30,536,188,357,3
55.22,14.21,21.28,4.09,0,4.09,493,0.65,19,337,62,264,3
37.92,25.6,31.14,1.55,0,1.55,550,0.23,14,346,64,389,1
13.44,9.65,29.51,42.65,0,45.9,400,0.52,70,444,1409,466,8
41.46,24.94,27.44,2.22,0,2.22,700,0.24,29,546,121,356,8
33.19,29.81,32.34,0.36,0,0.36,1011,0.17,36,605,81,413,7
48.42,20.05,27.25,0.49,0,0.49,497,0.13,21,393,128,327,3
41.01,24.48,30.28,0.68,0,0.5,746,0.72,27,444,81,373,4
50.01,22.17,22.35,2.19,0,1.03,505,0.44,20,354,76,300,10
48.38,21.6,24.64,2.47,0,1.01,575,0.2,21,412,75,318,5
53.78,24.26,15.92,2.77,0,1.13,782,0.22,23,463,84,254,2
47.07,23.75,19.78,5.58,0,1.9,697,0.22,27,548,188,295,7
41.77,23.41,30.04,1.12,0,1.12,717,0.41,27,468,134,368,5
63.11,9.15,22.78,3.59,0,3.19,117,0.13,10,138,152,253,8
22.65,28.42,27.84,13.91,0,0.07,853,0.49,34,627,180,420,4
29.16,35.75,25.83,3.22,0,0.8,1184,0.82,44,694,92,392,8
45.45,23.78,28.2,0.57,0,0.57,650,0.43,24,360,136,352,5
40.95,25.58,26.62,2.14,0,0.56,756,0.52,28,496,138,351,1
71.7,11.26,12.98,3.04,0,0.27,207,0.38,11,158,105,174,0
74.41,11.39,7.91,5.14,0,0.31,272,0.44,15,183,125,138,0
30.91,31.8,26.94,3.63,0,0.73,1064,0.77,41,760,86,387,3
39.38,21.54,30.64,2,0,0.55,662,0.56,30,392,91,369,10
37.63,26.96,30.99,1.44,0,0,890,0.13,33,574,72,393,2
42.86,24.41,25.98,1.88,0,17.07,700,0.23,13,500,65,340,8
39.61,18.13,30.71,4.78,0,2.26,1045,0.63,26,641,132,366,9
39.08,22.13,31.2,1.73,0.1,0.62,614,0.42,22,744,162,375,8
42.31,24.73,25.01,2.1,0,1.23,772,0.61,29,762,216,334,1
43.12,19.66,24.46,8.32,0,0.5,497,0.84,30,400,363,331,2
44,16.86,25.63,8.56,0,5.59,682,0.26,27,438,255,330,1
43.67,21.92,24.14,4.5,0,0.45,723,0.6,28,526,284,323,4
47.65,16.41,21.23,8.73,0,7.32,562,0.33,29,875,242,290,1
65.47,21.05,0,10.53,0,5.26,789,0,115,316,393,126,1
25,37.86,27.34,3.41,0,0.9,1253,0.87,51,735,97,415,2
29.01,30.52,35.59,2.17,0,2.17,895,1.88,54,729,48,452,2
45.52,21.58,29.84,0.12,0,0.12,298,1.62,29,375,158,364,1
60.75,18.52,21.08,0,0,0,140,1.9,16,256,26,264,7
47.36,11.47,12.22,23.67,0,23.67,610,0.4,41,583,455,248,5
66.86,10.33,14.92,5.48,0.1,0.19,311,0.35,19,229,142,197,6
38.06,21.44,29.98,4.63,0,4.63,680,0.47,28,444,87,373,4
42.16,22.6,28.26,2.87,0,2.87,661,0.51,26,443,86,356,1
39.13,21.56,29.68,5.56,0,5.56,651,0.47,23,442,52,374,9
63.1,24.35,7,1.91,0,0.52,415,0.42,16,484,66,173,8
38.98,24.35,32.62,1.91,0,0.49,703,0.72,27,484,112,398,8
71.87,15.69,1,7.66,0,5.48,351,0.19,22,523,278,105,9
50.6,20,20,1.37,0,0,1109,0.9,38,729,125,265,1
50.6,24.7,17.6,3.5,0,0.55,756,0.52,28,496,138,274,7
48.2,24.69,19.4,3.41,0,0.56,1146,0.13,35,583,93,282,4
51.8,17.6,14.1,10.6,0,8.02,529,0.2,33,829,330,240,6
42.17,24.51,24.35,2.04,0,0.55,661,0.18,27,475,116,325,8
51.42,18.09,23.82,2.98,0,2.32,566,0.2,24,385,129,299,9
48.7,20.38,24.31,2.53,0,1.76,690,0.18,29,467,126,310,1
42.48,23.54,28.51,1.75,0,1.23,659,0.59,25,438,85,358,1
45.07,16.09,23.06,8.85,0,6.24,1375,0.95,34,768,295,307,2
39.61,18.13,31.79,3.7,0,2.26,1045,0.63,26,641,132,371,3
44,16.86,25.63,8.56,0,5.59,682,0.26,27,438,255,330,9
61.82,13.41,8.88,10.71,0,7.06,557,0.36,27,931,250,176,0
44.29,27.35,20.41,4.06,0,0.26,761,0.12,27,520,63,309,10
57,32.14,0,7.14,0,0,893,0,16,484,66,157,4
63.6,28.4,0,3.4,0,1.33,961,0.17,36,605,111,127,6
38,20,30,3.97,0,0,800,0,38,729,125,366,7
36.15,24.25,33.82,2.13,0,0.27,711,0.16,27,460,76,410,7
44.81,23.63,19.72,8.06,0,2.24,716,0.23,29,537,131,304,3
52.5,14.1,29,1.51,0,1.51,58,1.08,13,178,206,328,6
59.13,16.18,18.53,2.28,0,0,217,0.76,18,495,162,245,2
73.84,13.83,10.9,0,0,0,16,1.5,9,56,31,157,0
53.6,15.2,25.6,2.1,0,2.26,8,10.83,12,207,226,304,0
32.2,7,15.2,44.3,1,0.62,59,0.64,15,101,289,339,5
45.6,5.5,22.5,25.5,0.4,21.8,51,0.63,11,93,90,321,5
44.2,5.5,12.7,35.5,1.9,0.5,172,0.47,19,234,211,274,5
3.55,10.93,22.74,59.42,2.3,4.53,136,4.88,25,200,156,489,9
21,9.2,20.9,47,2.6,11.35,53,2.15,24,130,132,414,0
31.4,8,21.9,37.2,1,6.95,35,1.8,15,108,98,374,5
29.4,7.1,18.3,43.7,1.2,5.26,118,0.76,19,98,137,360,4
0.56,5.46,36.54,54.54,0.8,3.57,53,1.69,18,126,180,567,8
2.5,9.3,33.2,51.6,9.9,0.79,113,2.24,91,361,261,526,10
1.66,7.36,27.42,60.81,5.1,2.59,137,1.16,75,252,223,519,7
15.1,0.1,17.3,67.32,0,63.54,3,0.16,2,3,35,415,8
1.9,7,37,50.6,3.4,23.67,110,1.6,53,163,381,551,2
1.8,8.5,27.2,57.7,5.2,0.19,72,1.84,75,299,1528,496,3
3,8.5,12.1,72.35,3.6,7.29,357,1.28,41,357,286,432,0
1.5,5.76,35.76,54.1,2.2,2.76,58,1.1,20,108,197,558,4
46,28.2,21.6,0.7,0,0.56,705,0.72,27,444,81,313,8
56.9,22.5,0.8,13.4,0,9.95,689,0.28,36,936,288,148,2
82.5,12.4,1,3.2,0.6,2.6,53,0.14,5,134,86,74,3
51.8,17.6,14.1,10.6,0,8.02,529,0.2,33,829,330,240,2
50.5,24.7,17.6,3.5,0,3.5,529,0.41,27,468,134,271,9
60.2,31.7,0,3.5,1.8,1.48,961,0.31,33,656,106,141,7
80.3,10.9,4.2,3,0.1,0.37,56,0.1,4,128,86,95,9
66.72,7.85,15.28,8.13,0,5.82,148,0.17,8,152,247,201,9
58.9,24.6,7,3.5,0,0.59,684,0.43,24,827,180,180,5
58.5,7.1,28.6,3.5,0,3.5,71,1.13,6,91,112,295,1
53.1,16.7,14,11.6,0,7.74,562,0.33,29,712,242,239,1
70.9,12.5,8.1,6.9,0,1.6,188,5.6,228,222,199,151,6
22.2,41.6,29.99,3.7,0,0.85,800,0.95,51,807,107,451,0
83.5,12.4,1,2.7,0,2.7,61,0.14,5,134,86,72,0
59.1,25.5,5.1,4.3,0,1.35,684,0.43,24,827,180,165,0
83.5,10.9,1,3,0,3,56,0.1,4,128,86,67,4
42.8,22.2,31.19,1.6,0,0.45,616,0.39,22,745,162,376,8
37.8,28.4,27.4,3.4,0,1.31,961,0.17,36,605,111,374,3
59.6,28.4,5.1,3.4,0,1.33,961,0.17,36,605,111,179,7
49.9,27.5,17.1,3.1,0,1.23,731,0.25,26,524,95,280,6
55.5,4.08,19.5,16.18,0,8.21,649,0.68,10,596,126,257,8
87.9,3.47,3.25,4.66,0,4.66,121,0.05,12,95,155,61,8
85.07,5.25,1.55,7.04,0,7.04,183,0.08,17,144,234,63,8
85.23,5.73,0.18,7.68,0,7.68,199,0.09,19,157,255,56,9
79,4.93,1.25,13.8,0,13.8,171,0.07,16,135,219,85,0
75.3,3.98,1.15,18.64,0,18.64,138,0.06,13,109,177,99,6
74.48,4.37,1.08,19.05,0,19.05,152,0.07,15,119,195,102,4
74.1,4.86,1.41,18.6,0,21.8,169,0.07,16,133,216,105,0
87.43,3.86,0.18,7.5,0,7.5,143,0.12,13,109,177,43,3
71.57,3.53,0,23.53,1.2,14.97,88,0.42,40,166,339,112,10
74.1,4.86,1.41,18.6,0,2.9,152,0.07,16,133,194,105,6
75.3,3.98,1.15,18.64,0,18.64,138,0.06,13,109,177,99,4
74.48,4.37,1.08,19.05,0,19.05,152,0.07,15,119,195,102,7
75.4,4.4,0.2,19,0,19,152,0.07,15,119,194,95,8
74.1,4.86,1.41,18.6,0,2.9,152,0.07,16,133,194,105,5
79,4.93,1.25,13.8,0,13.8,171,0.07,16,135,219,85,8
87.43,3.86,0.18,7.5,0,7.5,143,0.12,13,109,177,43,6
71.57,3.53,0,23.53,1.2,14.97,88,0.42,40,166,339,112,9
79,4.93,1.25,13.8,0,5.43,171,0.07,16,135,219,86,6
73.5,4.4,0.8,19.7,2,12.61,159,0.04,40,129,339,104,9
85.1,10.19,0.39,3.6,0,3.24,110,0.07,11,135,141,59,7
82.03,9.07,0.22,8.09,0.3,7.61,106,0.05,11,126,130,71,2
76.6,8.25,2.92,11.67,1,11,86,0.07,10,110,131,106,1
78.5,8.12,0.14,12.72,0.5,11.4,89,0.04,10,112,115,85,7
78.63,8.03,0.22,12.53,0.4,11.63,94,0.06,11,114,145,84,10
79.62,8.03,0.12,11.62,0.7,10.86,99,0.12,10,112,124,80,2
76.81,8.17,2.57,11.89,1,11.23,88,0.07,10,109,129,103,6
79.13,8.05,0.15,12.07,0.6,11.27,97,0.09,10,113,132,82,7
80.26,8.64,0.18,10.37,0.5,9.54,99,0.04,10,119,123,78,7
83.56,9.95,1.92,3.94,0,3.56,115,0.04,11,137,141,73,8
81.3,9,5,3.98,0,4,100,0,11,135,141,97,6
76.81,7.33,3,12.29,0,12,100,0,10,109,113,106,0
79,2.94,0,17.04,0,5.88,118,0,16,88,141,78,10
78.76,8.64,2.5,9.54,0,9.54,100,0.04,10,119,123,95,2
68.08,8,2.5,21,0,21,200,0,7,62,108,139,6
6,14.29,4,71.82,2.3,57.14,457,0,53,382,714,380,2
28,0.3,70,0.5,0,0,20,0.01,2,16,25,630,3
59,2,35,2,0,0,50,0.02,5,39,64,330,4
3,7.1,2.9,85.3,8.1,32.1,27,25.3,51,157,188,367,4
2.23,6.67,5.23,81.75,6.7,30,333,15,80,200,200,400,2
80.7,2.64,1.76,13.66,0.4,10.57,132,0.48,11,62,25,79,9
79.35,2.94,1.76,14.71,0.6,10.59,176,0.85,10,382,64,88,10
84.67,2.64,1.76,9.69,0.4,5.29,132,0.06,10,16,188,66,6
77,2.35,1.18,18.24,0.6,12.94,176,0.64,11,39,200,94,4
77.59,2.35,1.18,17.65,0.6,12.94,176,0.64,10,157,25,88,1
76.41,2.35,1.18,18.82,0.6,14.71,176,0.64,10,200,64,94,3
78.18,2.35,1.18,17.06,0.6,11.76,176,0.64,10,62,188,88,10
78.18,2.35,1.18,17.06,0.6,12.35,176,0.64,10,382,200,88,9
77.59,2.35,1.18,17.65,0.6,12.35,176,0.64,11,16,25,88,7
78.18,2.35,1.18,17.06,0.6,10.59,176,0.64,11,39,64,88,5
1.91,5.87,27,63.94,0,62.36,205,0.14,18,157,290,522,10
65.3,4,5.6,24.2,0,24,143,0.3,14,129,211,159,0
63.8,4,6,24.9,2.2,11.68,147,1.25,27,139,261,160,6
78.98,3.36,1.01,15.86,1.1,11.68,105,0.49,17,93,189,84,8
83.61,0.86,0.14,15.05,0.9,12.68,20,0.14,11,11,131,65,5
73.5,4.4,0.8,19.7,2,12.61,159,0.04,40,129,339,107,1
71.2,3,3.6,21.6,2.3,19.24,100,0.46,25,89,234,127,7
71.2,3,3.6,21.6,0,19.92,100,0.46,10,89,156,127,0
75.4,4.4,0.2,19,0,19,152,0.07,15,119,194,95,5
77.5,3.5,1.8,15.96,0.2,1.24,118,1.06,40,38,47,94,3
81.8,0.8,0.8,16.23,0.4,11.74,28,0.2,4,22,62,75,4
80.87,0.9,0.18,17.6,0.4,11.11,27,0.4,13,27,102,76,2
81.4,0.5,0.7,17.05,0.4,13.62,25,0.2,13,109,62,77,1
80.7,1.1,0.52,17.35,0.5,12.2,30,0.14,10,28,100,78,10
59.85,4.78,4.83,29.46,0.3,22.12,161,0.19,14,103,208,180,1
57.2,3.5,16.2,22.29,0,20.65,117,0.34,11,105,157,249,4
59.8,4.1,13,22.2,0.7,21.16,131,0.21,12,116,177,222,0
61,3.5,11,23.6,0.7,21.22,128,0.09,14,105,199,207,9
69.6,4.9,2.6,21.8,0,18.69,157,0.06,14,121,221,126,1
61.43,5,7.19,25.7,0.8,24.71,159,0.69,20,83,170,187,9
65.52,3.97,7.45,21.42,0,6.46,136,0.19,9,75,196,169,10
62.99,3.54,5.74,26.79,0.9,5.65,121,0.48,15,106,196,173,5
55.7,3.8,11,28.2,1.2,25.36,109,0.93,29,107,249,216,8
60,3.2,8.4,27.6,0.9,6.3,120,0.21,14,100,188,192,2
64.35,4.48,0,30.06,1,6.3,149,0,21,150,302,138,2
64.89,4.84,4.59,25.3,0.2,22.78,169,0.06,25,83,196,162,10
62.71,4.82,5.56,26.03,0.2,21.11,155,0.21,10,75,249,173,8
63.42,3.3,2.2,30.51,5.4,20.93,122,0.09,15,106,188,137,10
63.32,4.69,4.35,26.06,0.4,22.47,158,0.31,40,107,302,161,3
59.11,4.69,7.09,28.39,0.6,25.38,160,0.52,4,100,196,196,1
63.52,3.99,10.3,21.3,0.9,5.9,130,0.19,13,150,249,180,9
66.48,4.5,7.05,20.75,0.5,7.7,151,0.19,13,83,188,154,2
67.86,3.68,6.2,21.92,0.5,6.09,133,0.09,10,75,302,143,0
64.4,3.53,5.68,25.63,0.8,5.49,121,0.36,14,106,196,153,5
67.34,3.71,6.26,21.7,0.7,6.15,132,0.27,11,107,249,143,5
56.58,5.3,7.28,29.68,1,24.04,158,0.85,12,100,188,201,7
63.2,3.89,2.17,30.18,5.8,20.29,126,0.84,14,150,302,136,2
64.71,3.54,5.8,25.17,1,5.81,121,0.59,14,83,196,151,4
61,3.17,12.7,22.23,4.8,6.35,128,0.09,14,105,199,216,9
55.7,3.8,12.7,26.8,4.8,6.35,109,0.93,29,107,249,237,1
57.52,4.72,16.98,19.78,0.9,17.35,142,1.02,32,115,238,251,0
